X,Y,Shape_Leng,Shape_Area,INSIDE_X,INSIDE_Y,ID,SC,CC,TDS,Sl,DD,LD,Lf,STC,LULC,NDVI,RF,GEOL,HU,GP,SC1,CC1,TDS1,Sl1,DD1,Lf1,STC1,LULC1,Geol1
833664.6972,1708753.0004,4000,1000000,833664.6972,1708753.0004,1,1.09839,1418.55,1024.82,0.505917,0.914182,0,34,6,5,0.31024,197.839,2,1,2,0.0921058965932,5.16033240651,1.93752500776,-0.616252678055,-0.0877426874892,9.66190378969,34.8726522961,3.61855512512,6.2
855664.6972,1671753.0004,4000,1000000,855664.6972,1671753.0004,2,2.37767,3099.71,5305.17,0.333138,2.43839,0,41,4,5,0.0813746,181.333,4,1,1,0.732011752425,5.52422862809,1.97254127635,-0.936344597103,1.123069014,10.8062484749,12.4,3.61855512512,204.6
848664.6972,1713753.0004,4000,1000000,848664.6972,1713753.0004,3,1.33649,1813.16,1282.4,0.668939,2.39094,0,34,6,5,0.225124,204.363,2,1,1,0.273853616114,5.27766941723,1.94415063535,-0.378760507406,1.0925329107,9.66190378969,34.8726522961,3.61855512512,6.2
862664.6972,1701753.0004,4000,1000000,862664.6972,1701753.0004,5,1.47682,1462.51,1850.3,0.571681,0.971864,0,24,9,5,0.297108,194.73,4,1,3,0.361008870554,5.17508001778,1.95350471485,-0.514788949992,-0.0283367579004,7.79795897113,96.8,3.61855512512,204.6
877643.482249833,1712689.42825075,3576.17439292,622566.808298,877630.420688,1712571.82509,6,6.53528,14252.6,2691.33,0.376042,1.31651,0,35.0685,4,5,0.16957,195.703,4,1,1,1.32012955392,6.15752906154,1.96144803552,-0.84762794161,0.294785359969,9.84373260738,12.4,3.61855512512,204.6
839664.6972,1680753.0004,4000,1000000,839664.6972,1680753.0004,7,1.10826,1200.24,1633.18,0.247462,3.08158,0,34,4,5,0.256557,198.658,4,1,1,0.100706708969,5.07877534952,1.95051051185,-1.140875229,1.51088588458,9.66190378969,12.4,3.61855512512,204.6
873664.6972,1701753.0004,4000,1000000,873664.6972,1701753.0004,8,5.28861,10540.6,2999.62,0.296211,1.62885,0,24,7,5,0.190479,189.869,2,1,1,1.21588655688,6.03983329322,1.96348285072,-1.01935599275,0.552528145361,7.79795897113,51.4567256969,3.61855512512,6.2
837664.6972,1714753.0004,4000,1000000,837664.6972,1714753.0004,9,1.90437,2210.42,1378.54,0.442522,1.26589,0,24,7,5,0.228108,201.347,2,1,2,0.567856044339,5.37030350387,1.94613330832,-0.723220980094,0.250235545227,7.79795897113,51.4567256969,3.61855512512,6.2
827679.925675018,1703683.01914973,3819.90868744,950157.797071,827687.312513,1703770.70371,10,1.10426,1628.89,1200.53,1.54731,0.262879,0,24,9,5,0.300788,195.425,2,1,2,0.0972340027595,5.22678689966,1.94227771938,0.466389726582,-0.974565430629,7.79795897113,96.8,3.61855512512,6.2
854664.6972,1709753.0004,4000,1000000,854664.6972,1709753.0004,11,1.19104,1488.95,1199.79,0.340645,2.54673,0,34,6,5,0.253908,201.439,3.5,1,1,0.168854054577,5.18371708534,1.94225992154,-0.920266528623,1.1916955002,9.66190378969,34.8726522961,3.61855512512,104.84375
827893.577100229,1703072.60644916,1958.67054727,177429.778476,827870.681602,1703116.6768,12,1.09274,1596.12,1176.79,0.219171,0.115405,0,24,9,5,0.359306,195.14,2,1,2,0.0871336710127,5.21707637296,1.94169839592,-1.21929103023,-1.32057376928,7.79795897113,96.8,3.61855512512,6.2
843664.6972,1694753.0004,4000,1000000,843664.6972,1694753.0004,13,0.906354,1126.03,1226.32,0.634203,2.3472,0,34,8.55908,5,0.278814,195.622,4,1,1,-0.100284483377,5.0472660103,1.94288790392,-0.425649134797,1.06411482607,9.66190378969,85.3289927625,3.61855512512,204.6
866664.6972,1697753.0004,4000,1000000,866664.6972,1697753.0004,14,3.05392,4402.59,3123.83,0.132849,1.12664,0,34,6.02559,5,0.199081,192.487,4,1,1,0.900453225234,5.67855313674,1.96421621346,-1.51410913026,0.122865951676,9.66190378969,35.2499499946,3.61855512512,204.6
835664.6972,1701753.0004,4000,1000000,835664.6972,1701753.0004,15,0.871517,1153.12,896.505,0.620704,1.35896,0,24,6,5,0.222206,198.854,2,1,2,-0.141372566845,5.05902621472,1.93320351084,-0.444356178989,0.331488822588,7.79795897113,34.8726522961,3.61855512512,6.2
832664.6972,1680753.0004,4000,1000000,832664.6972,1680753.0004,16,0.725284,813.838,827.906,0.24138,2.84255,0,34,6,5,0.269651,201.205,4,1,1,-0.342737605225,4.8838154379,1.9304912499,-1.15718180068,1.37197273968,9.66190378969,34.8726522961,3.61855512512,204.6
884664.6972,1716753.0004,4000,1000000,884664.6972,1716753.0004,17,4.21766,9119.64,1971.68,1.3755,1.2381,0,34,6.03,1,0.235827,200.108,4,1,2,1.09423934487,5.98207124013,1.95495861108,0.334561882363,0.225398887283,9.66190378969,35.315218339,0,204.6
840664.6972,1716753.0004,4000,1000000,840664.6972,1716753.0004,18,1.30198,1288.63,1016.36,0.733393,1.17546,0.304073,34,7.28512,5,0.226204,202.227,2,1,2,0.250436374733,5.11362069473,1.93726553242,-0.296088682858,0.168372644141,9.66190378969,56.8996233828,3.61855512512,6.2
854664.6972,1714753.0004,4000,1000000,854664.6972,1714753.0004,19,1.24345,1585.5,1175.14,0.954349,1.86594,0,34,9,5,0.234523,203.654,4,1,1,0.2086645639,5.21388229114,1.94165747939,-0.0463998947753,0.731988268485,9.66190378969,96.8,3.61855512512,204.6
844664.6972,1702753.0004,4000,1000000,844664.6972,1702753.0004,20,1.27012,1735.49,1495.09,0.443523,0.272483,0,24,6,5,0.220994,200.123,2,1,2,0.228032558517,5.25694906306,1.9482754963,-0.721451130659,-0.956001932533,7.79795897113,34.8726522961,3.61855512512,6.2
848664.6972,1678753.0004,4000,1000000,848664.6972,1678753.0004,21,1.44191,1405.19,2542.78,0.0881625,0.762982,0,24,7,5,0.254956,192.794,2,2,1,0.340442640497,5.15575057079,1.96033790963,-1.72467464309,-0.253023170341,7.79795897113,51.4567256969,3.61855512512,6.2
870664.6972,1701753.0004,4000,1000000,870664.6972,1701753.0004,22,4.102,7581.88,2813.41,0.785298,0.623239,0,35.1617,9,5,0.242651,190.569,2,1,1,1.07851678378,5.90718315712,1.96229373729,-0.233137765726,-0.421090273929,9.85946056149,96.8,3.61855512512,6.2
854664.6972,1699753.0004,4000,1000000,854664.6972,1699753.0004,23,1.0917,1018.49,1186.17,0.714647,1.6703,0,24,4,7,0.307381,195.209,4,1,1,0.0862144045607,4.99730157315,1.9419293724,-0.319590318011,0.584801738522,7.79795897113,12.4,5.2913319755,204.6
835664.6972,1696753.0004,4000,1000000,835664.6972,1696753.0004,24,0.635916,756.202,737.126,0.677688,1.23073,0,24,6,5,0.199495,197.545,2,1,1,-0.496264227461,4.84609728778,1.92633534867,-0.367220387175,0.218765473648,7.79795897113,34.8726522961,3.61855512512,6.2
859664.6972,1693753.0004,4000,1000000,859664.6972,1693753.0004,25,3.01367,2926.22,4906.7,0.323028,1.22178,0,40.9293,7,5,0.209414,191.721,2,1,1,0.891941912608,5.49837511425,1.97144808552,-0.958403433955,0.210683100322,10.7952019759,51.4567256969,3.61855512512,6.2
851664.6972,1708753.0004,4000,1000000,851664.6972,1708753.0004,26,0.691822,612.99,799.744,0.245504,0.477851,0,24,8.90999,5,0.257732,201.52,2,1,1,-0.396958429035,4.73674197007,1.92927800628,-1.14609393276,-0.617464642899,7.79795897113,94.3879368895,3.61855512512,6.2
849664.6972,1718753.0004,4000,1000000,849664.6972,1718753.0004,27,1.19059,1691.42,1065.62,1.4195,0.681734,0.195517,24,6,5,0.323198,206.603,2,1,1,0.168501647166,5.24473359262,1.93873268964,0.369373808211,-0.348656273844,7.79795897113,34.8726522961,3.61855512512,6.2
851664.6972,1676753.0004,4000,1000000,851664.6972,1676753.0004,28,1.66629,1840.42,3349.17,0.923236,0.844082,0,24,6.97,7,0.295372,189.457,2,1,1,0.461832985103,5.28471112206,1.96544098112,-0.0789210813213,-0.162521294957,7.79795897113,50.9028986666,5.2913319755,6.2
855664.6972,1678753.0004,4000,1000000,855664.6972,1678753.0004,29,2.68987,2834.07,4363.59,0.735467,1.7694,0,24,7,5,0.21284,188.653,2,1,1,0.817141950297,5.48394791986,1.96972333507,-0.293514470887,0.660375913718,7.79795897113,51.4567256969,3.61855512512,6.2
852664.6972,1679753.0004,4000,1000000,852664.6972,1679753.0004,30,2.42774,2490.17,3726.25,0.286791,2.14006,0,34,4,5,0.143413,191.112,4,2,1,0.746688294907,5.42514744355,1.96723622,-1.04168275266,0.925788746966,9.66190378969,12.4,3.61855512512,204.6
857664.6972,1672753.0004,4000,1000000,857664.6972,1672753.0004,31,2.37516,2859.68,4805.4,0.0889269,1.85826,0,41,4,5,0.110404,181.029,4,1,1,0.731264624728,5.48800866193,1.97114871054,-1.7205029883,0.72636023703,10.8062484749,12.4,3.61855512512,204.6
861664.6972,1691753.0004,4000,1000000,861664.6972,1691753.0004,32,4.05252,4010.95,7036.62,0.162143,2.58762,0,34,7,5,0.138915,190.377,2,1,1,1.07159964131,5.63810430972,1.97615771128,-1.40204013012,1.21721620033,9.66190378969,51.4567256969,3.61855512512,6.2
840664.6972,1689753.0004,4000,1000000,840664.6972,1689753.0004,33,0.784675,953.833,971.007,0.231464,1.49677,0,24,7,7,0.201647,200.95,2,1,1,-0.254635130105,4.96438213923,1.9358171776,-1.18439585272,0.44685105742,7.79795897113,51.4567256969,5.2913319755,6.2
827664.6972,1714753.0004,4000,1000000,827664.6972,1714753.0004,34,1.54338,1727.03,1522.01,0.523093,0.439635,0,24,8.55908,5,0.386161,202.276,2,1,2,0.398396132739,5.25463075669,1.94873496699,-0.58890171536,-0.673900443295,7.79795897113,85.3289927625,3.61855512512,6.2
847664.6972,1672975.4881,3804.88834406,921796.834213,847698.087765,1672781.46249,35,1.20371,1251.54,2613.71,0.295155,0.535949,0,41.7913,9,5,0.248169,188.92,2,1,1,0.178700023293,5.09932925407,1.96087977903,-1.02183394035,-0.535829256165,10.9292384505,96.8,3.61855512512,6.2
813664.6972,1672759.8007995,3988.5996295,998397.409557,813663.994444,1672753.79326,36,0.807062,919.642,772.197,0.552943,0.630289,0,34,6.03262,11,0.255169,214.605,3,1,1,-0.223812793274,4.94596646909,1.92802760835,-0.542828027857,-0.412185126466,9.66190378969,35.3540223156,8.5052531824,48.4
861664.6972,1709753.0004,4000,1000000,861664.6972,1709753.0004,37,1.43745,1781.83,1295.72,0.133039,1.53774,0,36.404,6,5,0.224126,200.252,4,1,1,0.337764947146,5.26943107709,1.94443844147,-1.5133289476,0.480112894319,10.0671453673,34.8726522961,3.61855512512,204.6
